"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"197","10506","+13472401180","odNRFT5WQKXmhcdurXBf6A","3.5","38","40.7477722","-73.9873352","$"
"198","11743","+16469186565","30MwZaNBzg_XlSWHcl7QTg","3.5","918","40.72438","-74.00318","$"
"199","19699","+17185768860","dCUGRMLTI3Jc52aSw1aWFw","4","2","40.7207565","-73.9872284","$"
"200","17502","+12129872201","rPTtQ-FO_F9tMJDl3m50Bg","3","294","40.7207634","-73.9873657","$"
"201","13118","+12122219002","449jpPhousz-K84BN88Cuw","3","53","40.72399","-74.00316","$$"
"202","16594","+13472039064","U03wbA_5C1tL_dqk9fy8Qg","3","25","40.7494595","-73.7077429",NA
"203","2999","+17183460285","367JyCXTLYT9tlCqy3gGog","4","147","40.66142","-73.96051","$$$"
"204","617","+17185263220","b42PcC1nCP602fiXF0a9Xg","4","253","40.7074747","-74.0020404","$$"
"205","5202","+17182575400","yY-J4vTEGjqukMxTGorrTQ","3.5","3","40.66595","-73.93164","$"
"206","2232","+12127772537","RDZsYPmmVkre6gptUp_iaQ","3.5","79","40.7837296","-73.950798","$$"
"207","4788","+17187486626","LQHegfNHe7ylY3bocrFlpg","4","1517","40.752155","-73.984223","$$"
"208","10051","+17189393900","ukM0_qghRTdMQYKIFKor3g","3.5","51","40.67903","-73.89584","$"
"209","17954","+16463201177","XEPcwoElQ9G-6VR91sRoJg","2.5","53","40.7017015354619","-73.8053769110092",NA
"210","12809","+12122430438","NYELa6iCz5oNyzfbBEpV9Q","2","13","40.64512","-73.9021099","$$"
"211","1120","+12124262580","frWu5KfSULdCHd0GmA-ytw","3.5","662","40.727969","-73.985604",NA
"212","16235","+16465247409","Xf8spStI1SvCjwD1AWtMhg","4.5","31","40.621643","-74.032104","$$"
"213","109","+17183364195","r3MSmQAwsf4HRl_VyrMQsQ","4","124","40.781138","-73.840988","$$"
"214","12295","+17184855581","FAALx4s7PBtCZWKFqRNPNQ","4","47","40.6963379","-73.972758","$"
"215","13600","+17185652001","63v5dgX2SHPs-eP3IgKTIQ","2.5","52","40.73526","-73.99277","$"
"216","18675","+17187622727","yPUQX7MpdfWfzPRbDVmXeg","3","67","40.77993","-73.95546","$$"
"217","13093","+17188430872","pwgwYC9D7jn3M07QFblEfQ","1","1","40.78014","-73.955308","$$"
"218","19521","+12129357000","zYoL-o9YJpGTwJ-Gmj8AFA","3","316","40.7409694","-73.9934031","$$$$"
"219","20152","+19292254490","FZo-0Jd-_0WmutgIWhEaQw","3","76","40.59911","-73.95505","$$"
"220","7988","+12124961500","OsQGW8nlog3GJkgaTrq5AQ","2","1","40.671977","-73.89624","$$"
"221","14770","+17188166999","c8UaMp4bArpCGUGr8uuBfA","3","34","40.7364627","-73.8958551","$$"
"222","8483","+17182660107","F212FpDO0usnEbWBmpDdKA","4","184","40.73643","-73.8027","$"
"223","68","+12123496779","qCvN91oXaLFqASp8KWKZdg","2.5","27","40.674301","-73.839629","$$"
"224","23822","+17183025454","iLaDCx33pDT1QAIQZ8QjWw","4","53","40.7584911156122","-73.9627172425389","$$"
"225","9008","+17186224108","PgsOT5QnYgXYUVSR_-prYA","3.5","18","40.75842","-73.96261","$"
"226","15273","+17184371888","tZinZdPH3p4BrJuuSYK2Kw","3","81","40.78786","-73.97731","$$"
"227","13833","+17185650348","XsQFzsJ8T11Atz6Qxbni1Q","1","1","40.78786","-73.97731","$$"
"228","5949","+17187693338","ton8k6LoJJ_nxIx2hpwYag","3.5","16","40.63482","-74.10985","$"
"229","25670","+15167579800","hnbInvTwZ-QdjvVGGUiw6w","3.5","12","40.5965881","-73.9787598","$"
"230","21847","+19173883675","bdKc4CSJPv-XLgxVwrtPrg","4.5","380","40.71695","-73.99957","$"
"231","13947","+13472183268","QQftDSp0pnRepCHfPF4jDg","4","41","40.7008","-73.94281","$$"
"232","4654","+17182691713","ZYP6Pq9phOpa1cek2S360Q","1.5","8","40.6802481292541","-73.9493755460783","$"
"233","1994","+12125647272","MSaA1AvigcqsW51XMD-qFw","1","1","40.641174920131","-74.0036972986019","$$"
"234","13168","+17184921566","g_bi9LM2NcJd2SA5dFYFxg","3","67","40.57678","-73.9667","$$"
"235","15212","+17182381122","9b2SbrI_QVnYB6OVu9z2yA","4.5","190","40.7181419094006","-73.991854171582","$$"
"236","20389","+13474443752","6_QdpGBllowmf94fqZr68Q","3","687","40.7590663","-73.9924231","$$"
"237","11425","+17188684400","gj3TK9OEeXbb2-3Yp2Laxg","3.5","155","40.632924","-74.011871","$$"
"238","7168","+17184508380","oOVptMYyA3jUlHh4hCjAXQ","5","2","40.6024070157644","-73.7517749145627","$"
"239","13416","+17182788808","STLqs0a6SI_eOsKHxWI92Q","4","9","40.8221017","-73.9076204","$$"
"240","3595","+17182188787","uv7iMV8JCW0BT6-S8uiJlw","3.5","74","40.773576","-73.9073249","$$"
"241","11563","+12127363232","XpYm_l-zKI3Rl4E8WODIDA","4","394","40.7163303847776","-73.9617204666138","$"
"242","3522","+12126350345","D7h9EP-qZ7NWhQIbf7KKtw","3.5","66","40.747318","-73.986473","$"
"243","6267","+12129569661","eIPiRkf6KCo9A9Ok-Nr_ow","3.5","1593","40.747452","-73.986336","$$"
"244","1290","+12127342676","BHZatCnkzfPa6X2H7Xmu1A","3.5","92","40.7058852910995","-74.009992852807","$$"
"245","18485","+17182753007","nnFTQ8gahMWmE1XYGL0lSw","2.5","194","40.76121","-73.9919","$"
"246","10349","+17183783138","gU6_qALmeWysg2YXMzMrtw","3","301","40.7762350782493","-73.9623423504256","$"
